Longitude,Latitude,Accident_Severity,Number_of_Casualties,Number_of_Vehicles,Day_of_Week,Road_Type,Speed_limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Vehicle_Type,Sex_of_Driver,Age_of_Driver,Engine_Capacity_(CC),Age_of_Vehicle,DateTime
-0.003217,51.63002,Fatal,1,1,2,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Car,Male,37,1598,5,2005-01-24 15:25:00
-0.019539,51.669954,Fatal,3,1,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,19,1587,3,2005-01-13 22:31:00
0.081939,51.590051,Fatal,1,1,6,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Goods vehicle,Male,24,-1,-1,2005-03-04 13:45:00
0.143388,51.539843,Fatal,1,2,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,28,1598,7,2005-03-19 09:47:00
0.143388,51.539843,Fatal,1,2,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Not known,-1,-1,-1,2005-03-19 09:47:00
0.118905,51.615019,Fatal,3,2,5,Dual carriageway,30,Daylight,Fine no high winds,Dry,Car,Female,84,-1,-1,2005-03-17 14:35:00
-0.020085,51.527968,Fatal,1,1,6,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Female,36,2299,17,2005-03-25 22:40:00
-0.029397,51.656091,Fatal,1,2,5,Dual carriageway,40,Daylight,Fine no high winds,Dry,Pedal cycle,Male,57,-1,-1,2005-05-05 16:35:00
-0.029397,51.656091,Fatal,1,2,5,Dual carriageway,40,Daylight,Fine no high winds,Dry,Goods vehicle,Not known,-1,5861,8,2005-05-05 16:35:00
0.227119,51.50321,Fatal,2,2,7,Dual carriageway,60,Daylight,Fine no high winds,Dry,Car,Male,68,1324,5,2005-05-28 11:30:00
0.227119,51.50321,Fatal,2,2,7,Dual carriageway,60,Daylight,Fine no high winds,Dry,Goods vehicle,Male,59,-1,10,2005-05-28 11:30:00
0.123574,51.535527,Fatal,1,1,6,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,41,-1,-1,2005-05-27 08:40:00
-0.058701,51.660536,Fatal,1,2,7,Dual carriageway,40,Daylight,Fine no high winds,Dry,Car,Male,44,2496,4,2005-06-04 15:18:00
-0.058701,51.660536,Fatal,1,2,7,Dual carriageway,40,Daylight,Fine no high winds,Dry,Goods vehicle,Male,39,-1,-1,2005-06-04 15:18:00
-0.115846,51.600498,Fatal,1,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,22,1597,8,2005-06-08 17:20:00
-0.115846,51.600498,Fatal,1,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,69,1390,13,2005-06-08 17:20:00
0.049473,51.590443,Fatal,1,2,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,39,4116,1,2005-06-18 16:58:00
-0.093916,51.64142,Fatal,4,2,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Female,17,1242,4,2005-06-18 04:30:00
0.094793,51.546207,Fatal,1,1,5,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,45,1597,7,2005-06-23 13:08:00
-0.146539,51.577246,Fatal,1,1,1,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,36,1896,8,2005-07-03 10:38:00
0.028063,51.595941,Fatal,1,1,5,Dual carriageway,50,Daylight,Fine no high winds,Dry,Car,Female,45,1781,5,2005-07-21 17:28:00
-0.047632,51.547944,Fatal,1,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,35,1598,8,2005-07-20 20:05:00
-0.047632,51.547944,Fatal,1,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Pedal cycle,Male,32,-1,-1,2005-07-20 20:05:00
0.005609,51.515571,Fatal,1,1,3,One way street,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,20,1998,11,2005-07-26 23:45:00
0.11409,51.551796,Fatal,4,2,5,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,29,1596,15,2005-07-28 19:33:00
0.11409,51.551796,Fatal,4,2,5,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Female,-1,1171,12,2005-07-28 19:33:00
-0.049778,51.60904,Fatal,1,2,3,Single carriageway,40,Daylight,Fine no high winds,Dry,Goods vehicle,Female,31,4250,4,2005-06-21 19:40:00
0.009929,51.594004,Fatal,4,2,3,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,24,-1,-1,2005-08-02 13:35:00
0.009929,51.594004,Fatal,4,2,3,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,25,1388,2,2005-08-02 13:35:00
-0.104054,51.623599,Fatal,1,1,6,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,49,-1,-1,2005-08-05 13:29:00
0.01736,51.536862,Fatal,3,2,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,27,1753,1,2005-09-10 07:20:00
0.01736,51.536862,Fatal,3,2,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,39,1762,6,2005-09-10 07:20:00
-0.086461,51.615939,Fatal,3,1,2,Roundabout,50,Darkness - lights lit,Raining no high winds,Wet or damp,Car,Male,25,-1,-1,2005-09-12 01:20:00
-0.120178,51.635458,Fatal,2,2,3,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,19,1598,7,2005-09-13 16:51:00
-0.036976,51.527443,Fatal,1,1,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,51,-1,-1,2005-09-17 13:40:00
-0.0598,51.590772,Fatal,1,2,2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Car,Male,55,1753,9,2005-09-26 06:14:00
-0.0598,51.590772,Fatal,1,2,2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Car,Male,-1,2544,8,2005-09-26 06:14:00
-0.051231,51.52786,Fatal,3,1,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Female,19,-1,-1,2005-10-06 21:06:00
0.108449,51.532742,Fatal,2,3,2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Goods vehicle,Not known,-1,-1,-1,2005-10-24 10:26:00
0.108449,51.532742,Fatal,2,3,2,Dual carriageway,40,Daylight,Fine no high winds,Dry,Car,Male,37,998,5,2005-10-24 10:26:00
0.13315,51.549112,Fatal,1,1,5,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Female,42,-1,-1,2005-10-27 09:50:00
0.109503,51.561771,Fatal,1,2,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,69,-1,-1,2005-11-12 09:28:00
0.109503,51.561771,Fatal,1,2,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Pedal cycle,Male,89,-1,-1,2005-11-12 09:28:00
0.01602,51.633738,Fatal,1,1,5,Single carriageway,30,Daylight,Raining no high winds,Wet or damp,Car,Male,44,-1,-1,2005-11-03 13:28:00
-0.080289,51.632115,Fatal,1,1,4,Dual carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,45,1781,17,2005-11-16 10:20:00
0.228418,51.500307,Fatal,4,1,1,Dual carriageway,70,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,18,1229,-1,2005-11-20 20:00:00
-0.134367,51.59252,Fatal,1,1,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Frost or ice,Car,Male,24,1598,-1,2005-11-24 00:53:00
0.219046,51.553544,Fatal,1,1,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,17,1360,4,2005-11-24 17:05:00
0.16373,51.597744,Fatal,1,1,1,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,38,1795,6,2005-12-18 10:22:00
-0.132058,51.641763,Fatal,1,1,3,Single carriageway,30,Darkness - lights lit,Raining no high winds,Wet or damp,Goods vehicle,Male,43,2664,4,2005-12-06 17:00:00
-0.002246,51.421639,Fatal,1,1,3,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,46,4116,1,2005-01-25 11:28:00
0.053024,51.480218,Fatal,1,1,3,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,32,-1,-1,2005-03-08 18:54:00
0.103881,51.430484,Fatal,1,2,3,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Female,34,1598,2,2005-03-15 21:10:00
0.103881,51.430484,Fatal,1,2,3,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Goods vehicle,Not known,-1,-1,-1,2005-03-15 21:10:00
-0.057496,51.424637,Fatal,3,2,7,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,16,1994,10,2005-03-12 02:20:00
-0.057496,51.424637,Fatal,3,2,7,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Not known,-1,1598,4,2005-03-12 02:20:00
0.050407,51.389704,Fatal,1,1,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Female,78,1587,12,2005-03-23 14:50:00
0.059423,51.456004,Fatal,1,1,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,42,-1,-1,2005-03-23 17:04:00
-0.027061,51.376465,Fatal,3,1,5,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Female,75,1598,3,2005-04-21 12:49:00
-0.012329,51.404724,Fatal,1,2,2,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,31,1798,4,2005-05-09 17:55:00
-0.012329,51.404724,Fatal,1,2,2,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,25,1686,3,2005-05-09 17:55:00
-0.053694,51.497146,Fatal,2,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,52,1596,-1,2005-06-29 17:35:00
-0.061217,51.414896,Fatal,1,2,1,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,20,1240,2,2005-07-10 18:30:00
-0.061217,51.414896,Fatal,1,2,1,Single carriageway,30,Daylight,Fine no high winds,Dry,Goods vehicle,Male,37,1998,2,2005-07-10 18:30:00
0.057178,51.415665,Fatal,2,2,7,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Female,50,1389,1,2005-07-16 23:36:00
-0.070164,51.4449,Fatal,4,1,1,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,30,1998,2,2005-07-17 05:17:00
-0.087862,51.500046,Fatal,1,1,4,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,42,2402,3,2005-07-20 22:08:00
-0.016688,51.476741,Fatal,2,1,1,Single carriageway,30,Darkness - lights unlit,Fine no high winds,Dry,Car,Male,20,1597,11,2005-06-26 04:38:00
-0.090672,51.381027,Fatal,3,1,2,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,21,1598,6,2005-08-08 01:24:00
0.062636,51.450642,Fatal,1,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Pedal cycle,Male,26,-1,-1,2005-08-10 06:21:00
0.062636,51.450642,Fatal,1,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,30,1753,4,2005-08-10 06:21:00
0.092809,51.487248,Fatal,2,2,4,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Female,42,-1,-1,2005-08-17 16:45:00
-0.045211,51.375421,Fatal,1,1,6,Single carriageway,30,Daylight,Other,Wet or damp,Car,Male,27,1598,2,2005-08-05 09:50:00
-0.08247,51.364076,Fatal,4,2,7,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,34,1392,9,2005-08-20 00:15:00
-0.08247,51.364076,Fatal,4,2,7,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,35,1995,3,2005-08-20 00:15:00
0.042458,51.379051,Fatal,2,3,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,77,1396,11,2005-08-20 15:15:00
0.042458,51.379051,Fatal,2,3,7,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,-1,2494,2,2005-08-20 15:15:00
-0.117694,51.419414,Fatal,2,2,2,Single carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,24,1800,7,2005-09-05 18:05:00
-0.114405,51.345529,Fatal,3,2,6,Dual carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,27,1999,-1,2005-09-02 18:50:00
-0.114405,51.345529,Fatal,3,2,6,Dual carriageway,30,Daylight,Fine no high winds,Dry,Car,Male,77,1977,8,2005-09-02 18:50:00
0.101515,51.429087,Fatal,4,2,7,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,30,-1,-1,2005-10-08 22:05:00
0.101515,51.429087,Fatal,4,2,7,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Car,Male,29,1396,13,2005-10-08 22:05:00
-0.005104,51.425375,Fatal,2,1,7,Single carriageway,30,Darkness - no lighting,Fine no high winds,Dry,Car,Male,28,1997,6,2005-10-15 00:01:00
-0.091421,51.483827,Fatal,1,2,3,Single carriageway,30,Darkness - lights lit,Fine + high winds,Dry,Car,Not known,-1,1905,16,2005-10-25 19:35:00
0.135727,51.477841,Fatal,1,1,5,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Goods vehicle,Male,21,1686,2,2005-11-24 07:50:00
0.095865,51.368485,Fatal,1,1,3,Single carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Goods vehicle,Male,55,2151,1,2005-12-06 19:17:00
0.005167,51.439858,Fatal,1,1,3,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Car,Female,71,1390,4,2005-11-29 08:58:00
0.015657,51.328344,Fatal,2,2,7,Single carriageway,40,Daylight,Fine no high winds,Wet or damp,Car,Female,24,-1,-1,2005-11-26 14:18:00
0.083304,51.430402,Fatal,1,1,7,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,19,1390,4,2005-12-17 00:36:00
0.19259,51.477331,Fatal,1,2,6,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Female,37,1988,9,2005-12-23 23:30:00
0.19259,51.477331,Fatal,1,2,6,Single carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Car,Female,37,1196,10,2005-12-23 23:30:00
0.005928,51.437507,Fatal,3,2,4,Roundabout,30,Darkness - lights lit,Fine no high winds,Dry,Car,Male,75,-1,-1,2005-12-14 21:15:00
0.005928,51.437507,Fatal,3,2,4,Roundabout,30,Darkness - lights lit,Fine no high winds,Dry,Goods vehicle,Male,40,-1,-1,2005-12-14 21:15:00
