Longitude,Latitude,Number_of_Casualties,Number_of_Vehicles,Speed_limit,Weather_Conditions,Vehicle_Type,DateTime
-0.132058,51.641763,1,1,30,Raining no high winds,Goods vehicle,2005-12-06 17:00:00
-0.002246,51.421639,1,1,30,Fine no high winds,Goods vehicle,2005-01-25 11:28:00
0.053024,51.480218,1,1,30,Fine no high winds,Car,2005-03-08 18:54:00
0.103881,51.430484,1,2,30,Fine no high winds,Car,2005-03-15 21:10:00
0.103881,51.430484,1,2,30,Fine no high winds,Goods vehicle,2005-03-15 21:10:00
-0.057496,51.424637,3,2,30,Fine no high winds,Car,2005-03-12 02:20:00
-0.057496,51.424637,3,2,30,Fine no high winds,Car,2005-03-12 02:20:00
0.050407,51.389704,1,1,30,Fine no high winds,Car,2005-03-23 14:50:00
0.059423,51.456004,1,1,30,Fine no high winds,Car,2005-03-23 17:04:00
-0.027061,51.376465,3,1,30,Fine no high winds,Car,2005-04-21 12:49:00
-0.012329,51.404724,1,2,30,Fine no high winds,Car,2005-05-09 17:55:00
-0.012329,51.404724,1,2,30,Fine no high winds,Car,2005-05-09 17:55:00
-0.053694,51.497146,2,2,30,Fine no high winds,Car,2005-06-29 17:35:00
-0.061217,51.414896,1,2,30,Fine no high winds,Car,2005-07-10 18:30:00
-0.061217,51.414896,1,2,30,Fine no high winds,Goods vehicle,2005-07-10 18:30:00
0.057178,51.415665,2,2,30,Fine no high winds,Car,2005-07-16 23:36:00
-0.070164,51.4449,4,1,30,Fine no high winds,Car,2005-07-17 05:17:00
-0.087862,51.500046,1,1,30,Fine no high winds,Car,2005-07-20 22:08:00
-0.016688,51.476741,2,1,30,Fine no high winds,Car,2005-06-26 04:38:00
-0.090672,51.381027,3,1,30,Fine no high winds,Car,2005-08-08 01:24:00
0.062636,51.450642,1,2,30,Fine no high winds,Pedal cycle,2005-08-10 06:21:00
0.062636,51.450642,1,2,30,Fine no high winds,Car,2005-08-10 06:21:00
0.092809,51.487248,2,2,30,Fine no high winds,Car,2005-08-17 16:45:00
-0.08247,51.364076,4,2,30,Fine no high winds,Car,2005-08-20 00:15:00
-0.08247,51.364076,4,2,30,Fine no high winds,Car,2005-08-20 00:15:00
0.042458,51.379051,2,3,30,Fine no high winds,Car,2005-08-20 15:15:00
0.042458,51.379051,2,3,30,Fine no high winds,Car,2005-08-20 15:15:00
-0.117694,51.419414,2,2,30,Fine no high winds,Car,2005-09-05 18:05:00
-0.114405,51.345529,3,2,30,Fine no high winds,Car,2005-09-02 18:50:00
-0.114405,51.345529,3,2,30,Fine no high winds,Car,2005-09-02 18:50:00
0.101515,51.429087,4,2,30,Fine no high winds,Car,2005-10-08 22:05:00
0.101515,51.429087,4,2,30,Fine no high winds,Car,2005-10-08 22:05:00
-0.005104,51.425375,2,1,30,Fine no high winds,Car,2005-10-15 00:01:00
-0.091421,51.483827,1,2,30,Fine + high winds,Car,2005-10-25 19:35:00
0.135727,51.477841,1,1,30,Fine no high winds,Goods vehicle,2005-11-24 07:50:00
0.095865,51.368485,1,1,30,Fine no high winds,Goods vehicle,2005-12-06 19:17:00
0.005167,51.439858,1,1,30,Fine no high winds,Car,2005-11-29 08:58:00
0.015657,51.328344,2,2,40,Fine no high winds,Car,2005-11-26 14:18:00
0.083304,51.430402,1,1,30,Fine no high winds,Car,2005-12-17 00:36:00
0.19259,51.477331,1,2,30,Fine no high winds,Car,2005-12-23 23:30:00
0.19259,51.477331,1,2,30,Fine no high winds,Car,2005-12-23 23:30:00
0.005928,51.437507,3,2,30,Fine no high winds,Car,2005-12-14 21:15:00
0.005928,51.437507,3,2,30,Fine no high winds,Goods vehicle,2005-12-14 21:15:00
-0.00963,51.347662,5,2,30,Fine no high winds,Car,2005-11-19 18:40:00
-0.00963,51.347662,5,2,30,Fine no high winds,Car,2005-11-19 18:40:00
-0.287683,51.489016,1,2,30,Raining no high winds,Car,2005-01-27 18:59:00
-0.32696,51.474565,1,2,30,Raining no high winds,Car,2005-02-26 17:50:00
-0.241076,51.509818,9,2,30,Fine no high winds,Car,2005-02-16 23:12:00
-0.241076,51.509818,9,2,30,Fine no high winds,Car,2005-02-16 23:12:00
-0.188945,51.461634,1,2,30,Fine no high winds,Car,2005-02-14 18:28:00
-0.294023,51.384704,1,2,30,Raining no high winds,Car,2005-03-29 20:00:00
-0.294023,51.384704,1,2,30,Raining no high winds,Car,2005-03-29 20:00:00
-0.381287,51.489716,1,2,30,Fine no high winds,Car,2005-02-16 17:15:00
-0.381287,51.489716,1,2,30,Fine no high winds,Car,2005-02-16 17:15:00
-0.192059,51.473912,1,2,30,Raining no high winds,Car,2005-06-01 18:59:00
-0.34514,51.473565,2,2,30,Fine no high winds,Car,2005-06-08 16:11:00
-0.34514,51.473565,2,2,30,Fine no high winds,Car,2005-06-08 16:11:00
-0.36656,51.438254,2,2,30,Fine no high winds,Car,2005-06-22 11:45:00
-0.36656,51.438254,2,2,30,Fine no high winds,Pedal cycle,2005-06-22 11:45:00
-0.355046,51.470377,1,2,30,Fine no high winds,Goods vehicle,2005-06-21 10:20:00
-0.355046,51.470377,1,2,30,Fine no high winds,Pedal cycle,2005-06-21 10:20:00
-0.167997,51.463466,1,2,30,Fine no high winds,Pedal cycle,2005-04-03 15:36:00
-0.128935,51.447022,1,1,30,Fine no high winds,Car,2005-04-20 17:10:00
-0.128476,51.433615,1,2,30,Fine no high winds,Goods vehicle,2005-06-23 07:20:00
-0.128476,51.433615,1,2,30,Fine no high winds,Pedal cycle,2005-06-23 07:20:00
-0.140854,51.369693,1,1,30,Fine no high winds,Car,2005-07-03 07:24:00
-0.194456,51.456952,1,1,30,Fine no high winds,Goods vehicle,2005-07-07 09:59:00
-0.310656,51.397445,4,2,30,Fine no high winds,Car,2005-07-18 13:16:00
-0.310656,51.397445,4,2,30,Fine no high winds,Car,2005-07-18 13:16:00
-0.372927,51.47773,1,2,40,Fine no high winds,Pedal cycle,2005-08-02 13:05:00
-0.372927,51.47773,1,2,40,Fine no high winds,Goods vehicle,2005-08-02 13:05:00
-0.24581,51.506652,2,2,30,Fine no high winds,Car,2005-07-31 07:20:00
-0.24581,51.506652,2,2,30,Fine no high winds,Car,2005-07-31 07:20:00
-0.227484,51.410694,3,2,30,Fine no high winds,Car,2005-07-31 02:00:00
-0.227484,51.410694,3,2,30,Fine no high winds,Car,2005-07-31 02:00:00
-0.406672,51.447439,3,3,30,Fine no high winds,Car,2005-09-01 01:26:00
-0.406672,51.447439,3,3,30,Fine no high winds,Car,2005-09-01 01:26:00
-0.406672,51.447439,3,3,30,Fine no high winds,Car,2005-09-01 01:26:00
-0.230625,51.508043,1,1,30,Fine no high winds,Car,2005-08-30 12:52:00
-0.22696,51.502232,1,1,30,Fine no high winds,Car,2005-09-30 02:05:00
-0.140845,51.479765,1,2,30,Fine no high winds,Goods vehicle,2005-10-07 18:03:00
-0.122009,51.48603,1,1,30,Fine no high winds,Car,2005-10-07 18:05:00
-0.329968,51.482881,1,1,40,Raining no high winds,Car,2005-10-12 22:53:00
-0.221683,51.515641,6,4,30,Fine no high winds,Car,2005-10-23 00:09:00
-0.221683,51.515641,6,4,30,Fine no high winds,Car,2005-10-23 00:09:00
-0.221683,51.515641,6,4,30,Fine no high winds,Car,2005-10-23 00:09:00
-0.221683,51.515641,6,4,30,Fine no high winds,Car,2005-10-23 00:09:00
-0.103395,51.455604,1,1,30,Fine no high winds,Car,2005-11-14 21:22:00
-0.36018,51.455701,1,1,30,Fine no high winds,Car,2005-11-16 21:30:00
-0.223469,51.503078,1,2,30,Fine no high winds,Goods vehicle,2005-12-14 08:29:00
-0.114932,51.479531,1,2,30,Fine no high winds,Goods vehicle,2005-12-15 08:25:00
-0.114932,51.479531,1,2,30,Fine no high winds,Pedal cycle,2005-12-15 08:25:00
-0.267094,51.49258,2,1,30,Fine no high winds,Car,2005-12-28 10:25:00
-0.131285,51.449398,1,1,30,Fine no high winds,Car,2005-12-21 05:19:00
-2.756027,54.961821,1,2,60,Raining + high winds,Car,2005-01-05 13:20:00
-2.756027,54.961821,1,2,60,Raining + high winds,Car,2005-01-05 13:20:00
-2.69511,54.680537,3,3,60,Fine + high winds,Car,2005-01-19 19:40:00
-2.69511,54.680537,3,3,60,Fine + high winds,Car,2005-01-19 19:40:00
-2.69511,54.680537,3,3,60,Fine + high winds,Goods vehicle,2005-01-19 19:40:00
-2.5108,54.589787,2,2,40,Raining no high winds,Car,2005-02-17 02:57:00
-2.5108,54.589787,2,2,40,Raining no high winds,Goods vehicle,2005-02-17 02:57:00
-3.382077,54.676267,2,2,50,Fine no high winds,Car,2005-02-28 13:40:00
-3.382077,54.676267,2,2,50,Fine no high winds,Car,2005-02-28 13:40:00
-3.208749,54.77761,1,1,60,Fine no high winds,Car,2005-03-07 01:17:00
-3.318564,54.855466,3,3,60,Fine no high winds,Car,2005-03-13 10:15:00
-3.318564,54.855466,3,3,60,Fine no high winds,Car,2005-03-13 10:15:00
-3.318564,54.855466,3,3,60,Fine no high winds,Car,2005-03-13 10:15:00
-3.170416,54.255982,2,2,60,Fine + high winds,Car,2005-03-11 09:41:00
-3.170416,54.255982,2,2,60,Fine + high winds,Goods vehicle,2005-03-11 09:41:00
-3.452208,54.746539,3,1,60,Fine no high winds,Car,2005-03-31 12:30:00
-3.323586,54.709005,6,4,60,Fine no high winds,Car,2005-04-13 16:00:00
-3.323586,54.709005,6,4,60,Fine no high winds,Car,2005-04-13 16:00:00
-3.323586,54.709005,6,4,60,Fine no high winds,Goods vehicle,2005-04-13 16:00:00
-3.323586,54.709005,6,4,60,Fine no high winds,Car,2005-04-13 16:00:00
-3.052768,54.229474,4,2,70,Fine no high winds,Car,2005-04-19 21:36:00
-3.052768,54.229474,4,2,70,Fine no high winds,Car,2005-04-19 21:36:00
-3.57831,54.55316,1,1,30,Raining no high winds,Pedal cycle,2005-04-28 08:44:00
-3.524711,54.608584,3,2,50,Fine + high winds,Car,2005-04-28 15:44:00
-3.524711,54.608584,3,2,50,Fine + high winds,Goods vehicle,2005-04-28 15:44:00
-3.483571,54.639654,1,2,60,Fine no high winds,Car,2005-05-01 17:15:00
-2.897591,54.831447,2,1,60,Fine no high winds,Car,2005-05-14 06:45:00
-2.813758,54.260535,3,2,70,Fine no high winds,Car,2005-06-08 13:25:00
-2.813758,54.260535,3,2,70,Fine no high winds,Car,2005-06-08 13:25:00
-2.858015,54.837216,6,2,60,Fine no high winds,Car,2005-07-06 19:45:00
-2.858015,54.837216,6,2,60,Fine no high winds,Car,2005-07-06 19:45:00
-2.729358,54.661643,1,1,40,Fine no high winds,Goods vehicle,2005-07-19 10:55:00
-2.99392,54.962895,3,3,70,Fine no high winds,Goods vehicle,2005-07-19 06:12:00
-2.99392,54.962895,3,3,70,Fine no high winds,Goods vehicle,2005-07-19 06:12:00
-2.99392,54.962895,3,3,70,Fine no high winds,Goods vehicle,2005-07-19 06:12:00
-3.163924,54.624184,1,1,60,Fine no high winds,Car,2005-07-27 21:33:00
-2.926617,54.888836,1,1,30,Fine no high winds,Goods vehicle,2005-07-31 01:10:00
-2.725703,54.342884,2,2,60,Fine no high winds,Car,2005-08-07 14:10:00
-3.239372,54.108425,2,2,30,Fine no high winds,Car,2005-10-04 10:50:00
-3.239372,54.108425,2,2,30,Fine no high winds,Car,2005-10-04 10:50:00
-2.813301,54.260718,3,2,70,Fine no high winds,Car,2005-10-13 13:38:00
-2.813301,54.260718,3,2,70,Fine no high winds,Car,2005-10-13 13:38:00
-2.779058,54.723074,2,2,60,Fine no high winds,Car,2005-10-12 10:46:00
-2.779058,54.723074,2,2,60,Fine no high winds,Car,2005-10-12 10:46:00
-3.53971,54.583408,5,2,60,Fine no high winds,Car,2005-07-15 21:23:00
-3.53971,54.583408,5,2,60,Fine no high winds,Car,2005-07-15 21:23:00
-2.86073,54.671925,4,1,60,Fine no high winds,Car,2005-10-19 19:57:00
-3.195252,54.883973,2,2,60,Raining no high winds,Car,2005-10-26 10:12:00
-3.195252,54.883973,2,2,60,Raining no high winds,Car,2005-10-26 10:12:00
-2.923645,54.355103,1,1,30,Fine no high winds,Car,2005-10-26 08:37:00
-3.055141,54.616284,4,3,60,Raining no high winds,Car,2005-11-06 20:37:00
-3.055141,54.616284,4,3,60,Raining no high winds,Car,2005-11-06 20:37:00
-3.055141,54.616284,4,3,60,Raining no high winds,Car,2005-11-06 20:37:00
-3.45281,54.745993,2,3,60,Fine + high winds,Car,2005-11-14 15:21:00
-3.45281,54.745993,2,3,60,Fine + high winds,Car,2005-11-14 15:21:00
-3.45281,54.745993,2,3,60,Fine + high winds,Car,2005-11-14 15:21:00
-2.8133,54.260628,1,2,70,Fine no high winds,Goods vehicle,2005-11-08 18:35:00
-2.8133,54.260628,1,2,70,Fine no high winds,Car,2005-11-08 18:35:00
-2.643997,54.958871,4,3,60,Fine no high winds,Car,2005-12-10 17:38:00
-2.643997,54.958871,4,3,60,Fine no high winds,Car,2005-12-10 17:38:00
-3.041839,54.62296,1,2,60,Fine no high winds,Goods vehicle,2005-12-13 20:05:00
-3.041839,54.62296,1,2,60,Fine no high winds,Car,2005-12-13 20:05:00
-3.533537,54.653862,1,1,30,Fine no high winds,Car,2005-12-28 12:05:00
-2.957143,54.260381,4,3,60,Fine no high winds,Car,2005-12-28 15:23:00
